smiles_canonical,activity_label,MolWt,LogP,TPSA,HBD,HBA,RB
O=C(CC1C=CCC1)NC1CCOC1=O,0,209.24499999999998,0.7744,55.4,1,3,3
Nc1cccc(-n2cc(CCC(=O)NC3CCOC3=O)nn2)c1,1,315.333,0.21379999999999988,112.13,2,7,5
CCCCCCCCNC(=O)CC(=O)c1ccccc1,0,275.392,3.736100000000002,46.17,1,2,10
C=C(Br)c1oc(O)c(C)c1Br,0,281.931,3.421720000000001,33.370000000000005,1,2,1
O=C(CNc1ccc(C(=O)/C=C/c2ccc(Br)cc2F)cc1)NC1CCOC1=O,0,461.2870000000001,3.3279000000000014,84.5,2,5,7
O=C(CNc1ccc(C(=O)/C=C/c2ccc(Cl)c(Cl)c2)cc1)NC1CCOC1=O,0,433.29100000000005,3.733100000000001,84.5,2,5,7
O=C(CNc1ccc(C(=O)/C=C/c2ccccc2Cl)cc1)NC1CCOC1=O,0,398.8460000000001,3.0797000000000008,84.5,2,5,7
O=C(CNc1ccc(C(=O)/C=C/c2ccccc2Br)cc1)NC1CCOC1=O,0,443.2970000000001,3.1888000000000014,84.5,2,5,7
O=C(CNc1ccc(C(=O)/C=C/c2ccc(Br)cc2)cc1)NC1CCOC1=O,0,443.2970000000001,3.1888000000000014,84.5,2,5,7
O=C(CNc1ccc(C(=O)/C=C/c2ccc(F)cc2)cc1)NC1CCOC1=O,0,382.3910000000001,2.5654000000000003,84.5,2,5,7
CCCC(=O)CC(=O)NC1CCSC1=O,0,229.30099999999996,0.8939999999999999,63.24,1,4,5
O=C(Cc1cccc(I)c1)NC1CCOC1=O,1,345.13599999999997,1.2653999999999996,55.4,1,3,3
O=C(CCSc1ccc(Cl)cc1)NC1CCOC1=O,1,299.779,2.2539,55.4,1,4,5
CCCCCCCSCC(=O)NC1CCOC1=O,1,273.398,2.1216999999999997,55.4,1,4,9
O=C(Cc1ccc(I)cc1)NC1CCOC1=O,1,345.13599999999997,1.2653999999999996,55.4,1,3,3
O=C(CNc1ccc(C(=O)/C=C/c2cc(Cl)cc(Cl)c2)cc1)NC1CCOC1=O,0,433.29100000000005,3.733100000000002,84.5,2,5,7
COc1cccc(/C=C/C(=O)c2ccc(NCC(=O)NC3CCOC3=O)cc2)c1,0,394.42700000000025,2.4349,93.72999999999999,2,6,8
CCCCCCCCCSCC(=O)NC1CCOC1=O,0,301.45200000000006,2.9019000000000013,55.4,1,4,11
C[C@@H]1O[C@H](CNC(=O)/C=C/c2ccccc2)[C@@H](O)[C@H](O)[C@@H]1O,0,307.346,-0.3140000000000005,99.02000000000001,4,5,4
C[C@@H]1O[C@H](NC(=O)c2ccccc2)[C@@H](O)[C@H](O)[C@@H]1O,1,267.281,-0.7561000000000004,99.02000000000001,4,5,2
CCCCc1cn(CC(=O)NC2CCOC2=O)nn1,1,266.301,0.05239999999999978,86.11000000000001,1,6,6
CCCCCCCOc1ccc(C(=O)NC2CCOC2=O)cc1,1,319.4010000000002,3.081100000000001,64.63,1,4,9
