smiles_raw,activity_label
C1COC(=O)[C@H]1NC(=O)CC(=O)CCCCCCCCCN=C=S,0
C12=NNN=C1N=C(NC2=O)N,1
C1=CC(=CC=C1N)S(=O)(=O)NC2=NC=CS2,1
CCCCCCCC(=O)N[C@H]1CCOC1=O,1
C1COC(=O)[C@H]1NC(=O)CC(=O)CCCCCCCCCNC(=O)CBr,0
C1COC(=O)[C@H]1NC(=O)CC(=O)CCCCCCCCN=C=S,0
C1COC(=O)[C@H]1NC(=O)COC2=CC=C(C=C2)OC(F)(F)F,1
C1CC(C=C1)CC(=O)N[C@H]2CCOC2=O,0
C1COC(=O)[C@H]1NC(=O)CCC2=CN(N=N2)C3=CC=CC(=C3)N,1
CCCCCCCCNC(=O)CC(=O)C1=CC=CC=C1,0
CC1=C(/C(=C(\C)/Br)/OC1=O)Br,0
C1COC(=O)[C@H]1NC(=O)CNC2=CC=C(C=C2)C(=O)/C=C/C3=C(C=C(C=C3)Br)F,0
C1COC(=O)[C@H]1NC(=O)CNC2=CC=C(C=C2)C(=O)/C=C/C3=CC(=C(C=C3)Cl)Cl,0
C1COC(=O)[C@H]1NC(=O)CNC2=CC=C(C=C2)C(=O)/C=C/C3=CC=CC=C3Cl,0
C1COC(=O)[C@H]1NC(=O)CNC2=CC=C(C=C2)C(=O)/C=C/C3=CC=CC=C3Br,0
C1COC(=O)[C@H]1NC(=O)CNC2=CC=C(C=C2)C(=O)/C=C/C3=CC=C(C=C3)Br,0
C1COC(=O)[C@H]1NC(=O)CNC2=CC=C(C=C2)C(=O)/C=C/C3=CC=C(C=C3)F,0
CCCC(=O)CC(=O)N[C@H]1CCSC1=O,0
C1COC(=O)[C@H]1NC(=O)CC2=CC(=CC=C2)I,1
C1COC(=O)[C@H]1NC(=O)CCSC2=CC=C(C=C2)Cl,1
CCCCCCCSCC(=O)N[C@H]1CCOC1=O,1
C1COC(=O)[C@H]1NC(=O)CC2=CC=C(C=C2)I,1
C1COC(=O)[C@H]1NC(=O)CNC2=CC=C(C=C2)C(=O)/C=C/C3=CC(=CC(=C3)Cl)Cl,0
COC1=CC=CC(=C1)/C=C/C(=O)C2=CC=C(C=C2)NCC(=O)N[C@H]3CCOC3=O,0
CCCCCCCCCSCC(=O)N[C@H]1CCOC1=O,0
C[C@H]1[C@H]([C@H]([C@@H]([C@H](O1)CNC(=O)/C=C/C2=CC=CC=C2)O)O)O,0
C[C@H]1[C@H]([C@H]([C@@H]([C@H](O1)NC(=O)C2=CC=CC=C2)O)O)O,1
CCCCC1=CN(N=N1)CC(=O)N[C@H]2CCOC2=O,1
CCCCCCCOC1=CC=C(C=C1)C(=O)N[C@H]2CCOC2=O,1
C1COC(=O)[C@H]1NC(=O)C2=CC=C(C=C2)N3C=C(N=N3)CSC4=CC=CC=C4,1
CCCCCCCCCC(=O)CC(=O)O[C@H]1CCOC1=O,0
C1COC(=O)[C@H]1NC(=O)CC(=O)CCCCCCCCCCN=C=S,0
CCCCCCCCCNC(=O)CC(=O)CC1=CC=CC=C1,0
CCCCCCCS(=O)CC(=O)NC1CCOC1=O,0
C1COC(=O)[C@H]1NC(=O)CCC2=CC(=CC=C2)I,1
C1COC(=O)[C@H]1NC(=O)COC2=CC=C(C=C2)I,1
C1COC(=O)[C@H]1NC(=O)COC2=CC=C(C=C2)Br,1
C1COC(=O)[C@H]1NC(=O)CCC2=CC=C(C=C2)Cl,1
C1COC(=O)[C@H]1NC(=O)CCC2=CC=C(C=C2)[N+](=O)[O-],1
C1COC(=O)[C@H]1NC(=O)CCC2=CC(=CC=C2)Br,1
C1COC(=O)[C@H]1NC(=O)CCC2=CC(=CC=C2)[N+](=O)[O-],1
C1COC(=O)[C@H]1NC(=O)CCC2=CC3=C(C=C2)OCO3,1
CC1=CC=C(C=C1)CCC(=O)N[C@H]2CCOC2=O,1
C1COC(=O)[C@H]1NC(=O)COC2=CC=C(C=C2)Cl,1
COC1=CC=C(C=C1)CCC(=O)N[C@H]2CCOC2=O,1
CC1=CC(=CC=C1)OCC(=O)N[C@H]2CCOC2=O,1
CC1=CC(=CC=C1)CCC(=O)N[C@H]2CCOC2=O,1
C1[C@H](OC2=CC(=CC(=C2C1=O)O)O)C3=CC(=C(C=C3)O)O,0
"C1=CC(=C(C=C1[C@@H]2[C@H](C(=O)C3=C(C=C(C=C3O2)O)O)O)O)O",0
"C1[C@H](OC2=CC(=CC(=C2C1=O)O)O)C3=CC=C(C=C3)O",0
"C1=CC=C(C(=C1)NC(=O)CC2=C(C(=CC(=C2)Br)Br)OCCCN=C=S)[N+](=O)[O-]",0
"C1=CC=C(C(=C1)C(=O)NCC2=C(C(=CC(=C2)Br)Br)OC(=O)CCCN3C(=O)C=CC3=O)[N+](=O)[O-]",1
"C1=CC=C(C(=C1)NC(=O)CC2=C(C(=CC(=C2)Br)Br)OC(=O)CCN3C(=O)C=CC3=O)[N+](=O)[O-]",1
"C1=CC=C(C(=C1)C(=O)NCC2=C(C(=CC(=C2)Br)Br)OC(=O)CCN3C(=O)C=CC3=O)[N+](=O)[O-]",0
"C1=CC=C(C(=C1)NC(=O)CC2=C(C(=CC(=C2)Br)Br)OC(=O)CNC(=O)CCl)[N+](=O)[O-]",0
C1=CC=C(C(=C1)NC(=O)CC2=C(C(=CC(=C2)Br)Br)OC(=O)CCCN3C(=O)C=CC3=O)[N+](=O)[O-],0
"C1=CC=C(C(=C1)NC(=O)CC2=C(C(=CC(=C2)Br)Br)OC(=O)CN3C(=O)C=CC3=O)[N+](=O)[O-]",0
C1=CC=C(C(=C1)NC(=O)CC2=C(C(=CC(=C2)Br)Br)OC(=O)CCNC(=O)CCl)[N+](=O)[O-],0
"C1CC(=O)N(C1=O)CCC(=O)OC2=C(C=C(C=C2Br)Br)CC(=O)NC3=CC=CC=C3[N+](=O)[O-]",0
"C1=CC=C(C(=C1)NC(=O)CC2=C(C(=CC(=C2)Br)Br)OCCCCN=C=S)[N+](=O)[O-]",0
"C1=CC=C(C(=C1)NC(=O)CC2=C(C(=CC(=C2)Br)Br)OC(=O)CCCN=C=S)[N+](=O)[O-]",0
"C1=CC=C(C(=C1)C(=O)NCC2=C(C(=CC(=C2)Br)Br)OC(=O)CCCN=C=S)[N+](=O)[O-]",0
"C1COC(=O)[C@H]1NC(=O)CC2=C(C(=CC(=C2)Br)Br)OC(=O)CCN3C(=O)C=CC3=O",0
"C1=CC=NC(=C1)C(=O)NCC2=C(C(=CC(=C2)Br)Br)OC(=O)CCCN3C(=O)C=CC3=O",0
"C1COC(=O)[C@H]1NC(=O)CC2=C(C(=CC(=C2)Br)Br)OC(=O)CCCN3C(=O)C=CC3=O",0
